origin	destination	origin_pop_size
panama	chile	3705246.0
panama	turks_caicos_islands	3705246.0
panama	haiti	3705246.0
panama	belize	3705246.0
panama	argentina	3705246.0
panama	dominica	3705246.0
panama	saint_lucia	3705246.0
panama	el_salvador	3705246.0
panama	puerto_rico	3705246.0
panama	ecuador	3705246.0
panama	guyana	3705246.0
panama	grenada	3705246.0
panama	guadeloupe	3705246.0
panama	antigua_barbuda	3705246.0
uruguay	jamaica	3351016.0
uruguay	honduras	3351016.0
uruguay	colombia	3351016.0
uruguay	mexico	3351016.0
uruguay	saint_kitts_nevis	3351016.0
uruguay	united_states	3351016.0
uruguay	saint_vincent_grenadines	3351016.0
uruguay	paraguay	3351016.0
uruguay	nicaragua	3351016.0
uruguay	barbados	3351016.0
uruguay	canada	3351016.0
uruguay	united_states_virgin_islands	3351016.0
uruguay	martinique	3351016.0
uruguay	peru	3351016.0
uruguay	curacao	3351016.0
uruguay	panama	3351016.0
uruguay	bahamas	3351016.0
uruguay	bermuda	3351016.0
uruguay	aruba	3351016.0
uruguay	suriname	3351016.0
uruguay	costa_rica	3351016.0
uruguay	bolivia	3351016.0
uruguay	venezuela	3351016.0
uruguay	french_guiana	3351016.0
uruguay	cayman_islands	3351016.0
uruguay	brazil	3351016.0
uruguay	trinidad_tobago	3351016.0
uruguay	dominican_republic	3351016.0
uruguay	cuba	3351016.0
uruguay	guatemala	3351016.0
uruguay	chile	3351016.0
uruguay	turks_caicos_islands	3351016.0
uruguay	haiti	3351016.0
uruguay	belize	3351016.0
uruguay	argentina	3351016.0
uruguay	dominica	3351016.0
uruguay	saint_lucia	3351016.0
uruguay	el_salvador	3351016.0
uruguay	puerto_rico	3351016.0
uruguay	ecuador	3351016.0
uruguay	guyana	3351016.0
uruguay	grenada	3351016.0
uruguay	guadeloupe	3351016.0
uruguay	antigua_barbuda	3351016.0
bahamas	jamaica	327316.0
bahamas	honduras	327316.0
bahamas	colombia	327316.0
bahamas	mexico	327316.0
bahamas	saint_kitts_nevis	327316.0
bahamas	united_states	327316.0
bahamas	saint_vincent_grenadines	327316.0
bahamas	paraguay	327316.0
bahamas	nicaragua	327316.0
bahamas	barbados	327316.0
bahamas	canada	327316.0
bahamas	united_states_virgin_islands	327316.0
bahamas	martinique	327316.0
bahamas	peru	327316.0
bahamas	curacao	327316.0
bahamas	panama	327316.0
bahamas	uruguay	327316.0
bahamas	bermuda	327316.0
bahamas	aruba	327316.0
bahamas	suriname	327316.0
bahamas	costa_rica	327316.0
bahamas	bolivia	327316.0
bahamas	venezuela	327316.0
bahamas	french_guiana	327316.0
bahamas	cayman_islands	327316.0
bahamas	brazil	327316.0
bahamas	trinidad_tobago	327316.0
bahamas	dominican_republic	327316.0
bahamas	cuba	327316.0
bahamas	guatemala	327316.0
bahamas	chile	327316.0
bahamas	turks_caicos_islands	327316.0
bahamas	haiti	327316.0
bahamas	belize	327316.0
bahamas	argentina	327316.0
bahamas	dominica	327316.0
bahamas	saint_lucia	327316.0
bahamas	el_salvador	327316.0
bahamas	puerto_rico	327316.0
bahamas	ecuador	327316.0
bahamas	guyana	327316.0
bahamas	grenada	327316.0
bahamas	guadeloupe	327316.0
bahamas	antigua_barbuda	327316.0
bermuda	jamaica	70537.0
bermuda	honduras	70537.0
bermuda	colombia	70537.0
bermuda	mexico	70537.0
bermuda	saint_kitts_nevis	70537.0
bermuda	united_states	70537.0
bermuda	saint_vincent_grenadines	70537.0
bermuda	paraguay	70537.0
bermuda	nicaragua	70537.0
bermuda	barbados	70537.0
bermuda	canada	70537.0
bermuda	united_states_virgin_islands	70537.0
bermuda	martinique	70537.0
bermuda	peru	70537.0
bermuda	curacao	70537.0
bermuda	panama	70537.0
bermuda	uruguay	70537.0
bermuda	bahamas	70537.0
bermuda	aruba	70537.0
bermuda	suriname	70537.0
bermuda	costa_rica	70537.0
bermuda	bolivia	70537.0
bermuda	venezuela	70537.0
bermuda	french_guiana	70537.0
bermuda	cayman_islands	70537.0
bermuda	brazil	70537.0
bermuda	trinidad_tobago	70537.0
bermuda	dominican_republic	70537.0
bermuda	cuba	70537.0
bermuda	guatemala	70537.0
bermuda	chile	70537.0
bermuda	turks_caicos_islands	70537.0
bermuda	haiti	70537.0
bermuda	belize	70537.0
bermuda	argentina	70537.0
bermuda	dominica	70537.0
bermuda	saint_lucia	70537.0
bermuda	el_salvador	70537.0
bermuda	puerto_rico	70537.0
bermuda	ecuador	70537.0
bermuda	guyana	70537.0
bermuda	grenada	70537.0
bermuda	guadeloupe	70537.0
bermuda	antigua_barbuda	70537.0
aruba	jamaica	113648.0
aruba	honduras	113648.0
aruba	colombia	113648.0
aruba	mexico	113648.0
aruba	saint_kitts_nevis	113648.0
aruba	united_states	113648.0
aruba	saint_vincent_grenadines	113648.0
aruba	paraguay	113648.0
aruba	nicaragua	113648.0
aruba	barbados	113648.0
aruba	canada	113648.0
aruba	united_states_virgin_islands	113648.0
aruba	martinique	113648.0
aruba	peru	113648.0
aruba	curacao	113648.0
aruba	panama	113648.0
