origin	destination	great_circle_dist_km
jamaica	uruguay	6207.08290441
jamaica	argentina	5898.64913884
jamaica	chile	5793.3402669
haiti	canada	3422.22146213
haiti	united_states	2903.10965566
haiti	bermuda	1694.0840171
haiti	mexico	2952.79577645
haiti	belize	1694.89751104
haiti	guatemala	1994.73887955
haiti	honduras	1656.46577965
haiti	el_salvador	1863.38326071
haiti	nicaragua	1626.78072777
haiti	costa_rica	1595.72364906
haiti	panama	1377.68704277
haiti	bahamas	899.221102485
haiti	cuba	824.912276703
haiti	turks_caicos_islands	329.14896345
haiti	cayman_islands	934.752029375
haiti	jamaica	490.708847796
haiti	dominican_republic	237.934127379
haiti	puerto_rico	655.257728361
haiti	united_states_virgin_islands	802.648759259
haiti	saint_kitts_nevis	1924.33609447
haiti	antigua_barbuda	1141.05593194
haiti	guadeloupe	1189.84532273
haiti	dominica	1239.72824527
haiti	martinique	1305.85587498
haiti	saint_lucia	1341.73386603
haiti	saint_vincent_grenadines	1357.51289589
haiti	barbados	1513.52041879
haiti	grenada	1372.53027437
haiti	trinidad_tobago	1507.39808724
haiti	curacao	834.597787783
haiti	aruba	751.171494266
haiti	french_guiana	2623.10609216
haiti	suriname	2358.5994888
haiti	guyana	2071.82730193
haiti	venezuela	1098.80866315
haiti	colombia	1449.31466256
haiti	ecuador	2386.60347294
haiti	peru	3343.42580905
haiti	bolivia	4099.49446335
haiti	brazil	5033.13277531
haiti	paraguay	5188.30079033
haiti	uruguay	6130.33066816
haiti	argentina	5862.89950638
haiti	chile	5843.48248635
dominican_republic	canada	3509.78423905
dominican_republic	united_states	3054.53969603
dominican_republic	bermuda	1598.61268972
dominican_republic	mexico	3185.44326551
dominican_republic	belize	1932.80467661
dominican_republic	guatemala	2230.24151229
dominican_republic	honduras	1890.13258156
dominican_republic	el_salvador	2095.32823871
dominican_republic	nicaragua	1848.63660556
dominican_republic	costa_rica	1796.02430555
dominican_republic	panama	1538.93672412
dominican_republic	bahamas	1047.66383617
dominican_republic	cuba	1041.23628533
dominican_republic	turks_caicos_islands	351.058147793
dominican_republic	cayman_islands	1171.48074526
dominican_republic	jamaica	727.330268768
dominican_republic	haiti	237.934127379
dominican_republic	puerto_rico	418.984694336
dominican_republic	united_states_virgin_islands	566.108482412
dominican_republic	saint_kitts_nevis	1686.95121176
dominican_republic	antigua_barbuda	907.166185784
dominican_republic	guadeloupe	960.22939145
dominican_republic	dominica	1015.67959637
dominican_republic	martinique	1086.4560572
dominican_republic	saint_lucia	1127.89702457
dominican_republic	saint_vincent_grenadines	1151.4991351
dominican_republic	barbados	1300.44480028
dominican_republic	grenada	1179.18372137
dominican_republic	trinidad_tobago	1327.77458921
dominican_republic	curacao	761.072004954
dominican_republic	aruba	707.882533621
dominican_republic	french_guiana	2431.55340923
dominican_republic	suriname	2173.4341635
dominican_republic	guyana	1898.11228493
dominican_republic	venezuela	1013.03561866
dominican_republic	colombia	1516.8684491
dominican_republic	ecuador	2481.00486443
dominican_republic	peru	3390.30964779
dominican_republic	bolivia	4066.40935578
dominican_republic	brazil	4897.7628573
dominican_republic	paraguay	5118.95960398
dominican_republic	uruguay	6072.38613055
dominican_republic	argentina	5825.54668454
dominican_republic	chile	5847.81336835
puerto_rico	canada	3745.20200698
puerto_rico	united_states	3383.73943363
puerto_rico	bermuda	1569.2313007
puerto_rico	mexico	3603.84269821
puerto_rico	belize	2347.24271474
puerto_rico	guatemala	2635.00064244
puerto_rico	honduras	2290.9010721
puerto_rico	el_salvador	2491.64669997
