origin	destination	pax_volume
costa_rica	paraguay	1464
costa_rica	peru	41716
costa_rica	puerto_rico	12208
costa_rica	saint_kitts_nevis	68
costa_rica	sint_maarten	643
costa_rica	saint_vincent_grenadines	11
costa_rica	suriname	31
costa_rica	trinidad_tobago	1498
costa_rica	turks_caicos_islands	74
costa_rica	united_states	1516944
costa_rica	uruguay	3459
costa_rica	venezuela	6753
costa_rica	british_virgin_islands	41
costa_rica	united_states_virgin_islands	1212
cuba	antigua_barbuda	149
cuba	argentina	60529
cuba	aruba	317
cuba	bahamas	17590
cuba	barbados	86
cuba	belize	418
cuba	bermuda	5
cuba	bolivia	5771
cuba	brazil	17565
cuba	canada	1205397
cuba	cayman_islands	18652
cuba	chile	47849
cuba	colombia	52639
cuba	costa_rica	13247
cuba	curacao	3266
cuba	dominican_republic	50433
cuba	ecuador	26943
cuba	el_salvador	14203
cuba	french_guiana	10
cuba	grenada	66
cuba	guadeloupe	3610
cuba	guatemala	2147
cuba	guyana	4763
cuba	haiti	23936
cuba	honduras	644
cuba	jamaica	3979
cuba	martinique	3957
cuba	mexico	365708
cuba	nicaragua	5716
cuba	panama	154987
cuba	paraguay	5187
cuba	peru	45592
cuba	puerto_rico	3702
cuba	saint_barthelemy	6
cuba	saint_kitts_nevis	6
cuba	saint_lucia	15
cuba	sint_maarten	558
cuba	saint_martin	23
cuba	suriname	169
cuba	trinidad_tobago	3744
cuba	turks_caicos_islands	1988
cuba	united_states	233822
cuba	uruguay	10421
cuba	venezuela	57520
cuba	british_virgin_islands	36
cuba	united_states_virgin_islands	16
curacao	antigua_barbuda	283
curacao	argentina	1256
curacao	aruba	81671
curacao	bahamas	151
curacao	barbados	382
curacao	belize	33
curacao	bermuda	59
curacao	bolivia	70
curacao	brazil	13246
curacao	canada	13447
curacao	cayman_islands	106
curacao	chile	639
curacao	colombia	34840
curacao	costa_rica	596
curacao	cuba	2701
curacao	dominica	91
curacao	dominican_republic	35577
curacao	ecuador	2393
curacao	el_salvador	63
curacao	french_guiana	91
curacao	grenada	268
curacao	guadeloupe	63
curacao	guatemala	139
curacao	guyana	7342
curacao	haiti	4067
curacao	honduras	16
curacao	jamaica	4425
curacao	martinique	14
curacao	mexico	863
curacao	nicaragua	38
curacao	panama	9721
curacao	paraguay	229
curacao	peru	955
curacao	puerto_rico	2584
curacao	saint_barthelemy	83
curacao	saint_kitts_nevis	169
curacao	saint_lucia	132
curacao	sint_maarten	13642
curacao	saint_vincent_grenadines	42
curacao	suriname	21815
